gen,gen,min,avg,max,std
0,0,-706.9424427486147,-391.83829762790594,-48.5160313413256,196.5365836235739
1,1,-577.4643384204761,-307.722894058244,-48.5160313413256,163.20784219946532
2,2,-577.4643384204761,-259.429546925753,45.26192296904336,160.74911962770577
3,3,-577.4643384204761,-228.49383145088905,45.26192296904336,150.67360025882826
4,4,-555.1684840271702,-191.5869799117581,45.26192296904336,133.56611589862197
5,5,-526.8954413908062,-186.43314075734216,45.26192296904336,126.55819504075652
6,6,-526.8954413908062,-171.03136487639063,45.26192296904336,125.99019941203977
7,7,-526.8954413908062,-140.32411635142648,45.26192296904336,106.82778067505548
8,8,-526.8954413908062,-136.8643629603783,45.26192296904336,107.1068607199152
9,9,-526.8954413908062,-125.97518255792507,45.26192296904336,100.23325111991736
10,10,-437.53105996005553,-119.36259480526186,45.26192296904336,88.62826518726685
11,11,-264.9869586533567,-102.00417279865368,45.26192296904336,57.80404603650734
12,12,-264.9869586533567,-100.6674039875458,54.279707080326084,58.296028355835375
13,13,-264.9869586533567,-100.61259773998867,54.279707080326084,58.26373027063551
14,14,-264.9869586533567,-94.69755560800118,54.79160165095178,53.60109405320685
