gen,gen,min,avg,max,std
0,0,-706.9424427486147,-391.83829762790594,-48.5160313413256,196.5365836235739
1,1,-577.4643384204761,-307.722894058244,-48.5160313413256,163.20784219946532
2,2,-577.4643384204761,-259.429546925753,45.26192296904336,160.74911962770577
3,3,-577.4643384204761,-228.49383145088905,45.26192296904336,150.67360025882826
4,4,-555.1684840271702,-191.5869799117581,45.26192296904336,133.56611589862197
5,5,-526.8954413908062,-186.43314075734216,45.26192296904336,126.55819504075652
6,6,-526.8954413908062,-171.03136487639063,45.26192296904336,125.99019941203977
7,7,-526.8954413908062,-140.32411635142648,45.26192296904336,106.82778067505548
8,8,-526.8954413908062,-136.8643629603783,45.26192296904336,107.1068607199152
9,9,-526.8954413908062,-125.97518255792507,45.26192296904336,100.23325111991736
10,10,-437.53105996005553,-119.36259480526186,45.26192296904336,88.62826518726685
11,11,-264.9869586533567,-102.00417279865368,45.26192296904336,57.80404603650734
12,12,-264.9869586533567,-100.6674039875458,54.279707080326084,58.296028355835375
13,13,-264.9869586533567,-100.61259773998867,54.279707080326084,58.26373027063551
14,14,-264.9869586533567,-94.69755560800118,54.79160165095178,53.60109405320685
15,15,-211.62733504188557,-87.23021466102634,54.79160165095178,47.72168718600441
16,16,-211.62733504188557,-85.55804621303217,54.79160165095178,47.705154458324934
17,17,-211.62733504188557,-81.86889198863912,54.79160165095178,47.17693511918312
18,18,-136.80427188538337,-79.99516005586456,54.79160165095178,43.31653395099525
19,19,-136.80427188538337,-76.67583489283422,54.79160165095178,45.902907508738465
20,20,-136.80427188538337,-76.67583489283422,54.79160165095178,45.902907508738465
21,21,-136.80427188538337,-75.56335744594399,54.79160165095178,46.68016663979035
22,22,-136.80427188538337,-72.45062847683319,54.79160165095178,45.43242017723151
23,23,-136.80427188538337,-71.24672545487842,54.79160165095178,44.75347416031508
24,24,-136.80427188538337,-68.6067505058697,54.79160165095178,43.40190004340879
25,25,-136.80427188538337,-66.53116031832188,54.79160165095178,42.75647275211008
26,26,-136.80427188538337,-65.42913030467034,54.79160165095178,42.925585988025695
27,27,-136.80427188538337,-64.94715263463851,54.79160165095178,42.52589064181155
28,28,-136.67805773090336,-64.4371685029712,54.79160165095178,41.776819679296445
29,29,-136.67805773090336,-64.09928223843409,54.79160165095178,41.89205994002993
30,30,-116.40490661869126,-62.305938124961095,54.79160165095178,40.249900468173415
31,31,-116.40490661869126,-62.179670421949346,54.79160165095178,40.301809551947464
32,32,-116.40490661869126,-60.856288902146176,54.79160165095178,40.31413869362602
33,33,-116.40490661869126,-60.856288902146176,54.79160165095178,40.31413869362602
34,34,-116.13941387957756,-60.557152668492066,54.79160165095178,39.955595109468206
