gen,gen,min,avg,max,std
0,0,9.0,78.26666666666667,500.0,128.19155805104936
1,1,9.333333333333334,102.06666666666666,500.0,127.16910875767833
2,2,42.666666666666664,200.24,500.0,171.2054651256463
3,3,42.666666666666664,252.70666666666665,500.0,192.82268930577416
4,4,58.0,316.52,500.0,168.80908559013577
5,5,138.33333333333334,331.41333333333336,500.0,145.29688472610525
6,6,138.33333333333334,368.09333333333336,500.0,142.9981047271451
7,7,162.66666666666666,403.9066666666667,500.0,127.07959080828046
8,8,177.33333333333334,414.96,500.0,125.64600431370668
9,9,177.33333333333334,432.4,500.0,121.02495610410277
10,10,177.33333333333334,463.8666666666666,500.0,77.94334124506368
11,11,282.0,473.14666666666665,500.0,53.14082590417445
12,12,282.0,462.96,500.0,72.92031084227037
13,13,282.0,468.05333333333334,500.0,64.00469982743455
14,14,282.0,460.8,500.0,65.10135687270018
15,15,282.0,480.4,500.0,50.03252275603674
16,16,282.0,473.14666666666665,500.0,53.14082590417445
17,17,282.0,476.7733333333333,500.0,51.737346923346074
18,18,282.0,471.68,500.0,63.13755564902187
19,19,282.0,473.84,500.0,70.84161488842558
