gen,gen,min,avg,max,std
0,0,9.0,138.33333333333334,500.0,154.62423987058287
1,1,9.0,218.33333333333331,500.0,190.44217553426085
2,2,9.0,253.7666666666666,500.0,183.71037290014715
3,3,9.0,260.4666666666666,500.0,177.0195971574271
4,4,56.666666666666664,283.41666666666663,500.0,169.17180205669948
5,5,61.333333333333336,299.3166666666666,500.0,173.60573067218206
6,6,65.33333333333333,300.6166666666666,500.0,171.90783302559413
7,7,65.33333333333333,300.6166666666666,500.0,171.90783302559413
8,8,65.33333333333333,302.29999999999995,500.0,169.78328997741667
9,9,87.33333333333333,303.76666666666665,500.0,167.84556724693223
10,10,90.66666666666667,333.7833333333333,500.0,156.24906310830227
11,11,90.66666666666667,333.7833333333333,500.0,156.24906310830227
12,12,90.66666666666667,333.7833333333333,500.0,156.24906310830227
13,13,90.66666666666667,333.7833333333333,500.0,156.24906310830227
14,14,90.66666666666667,333.7833333333333,500.0,156.24906310830227
15,15,94.66666666666667,354.24999999999994,500.0,149.73643047405366
16,16,94.66666666666667,373.25,500.0,142.442381138636
17,17,94.66666666666667,373.25,500.0,142.442381138636
18,18,94.66666666666667,373.25,500.0,142.442381138636
19,19,94.66666666666667,373.25,500.0,142.442381138636
