gen,gen,min,avg,max,std
0,0,9.0,115.88333333333333,500.0,137.59967195535833
1,1,9.0,143.85,500.0,145.36354712696487
2,2,9.666666666666666,190.66666666666666,500.0,161.10783138424193
3,3,11.0,205.16666666666666,500.0,151.31326959508726
4,4,11.0,205.93333333333334,500.0,151.07553666222
5,5,18.0,249.78333333333336,500.0,162.60498403595548
6,6,18.0,266.5666666666667,500.0,150.96670346654443
7,7,39.333333333333336,271.4666666666667,500.0,144.90596184345824
8,8,39.333333333333336,271.4666666666667,500.0,144.90596184345824
9,9,41.333333333333336,285.0166666666667,500.0,151.90514127061152
10,10,41.333333333333336,299.05,500.0,158.02978885851448
11,11,47.666666666666664,299.3666666666667,500.0,157.51856680686532
12,12,72.66666666666667,328.1666666666667,500.0,146.7087628981688
13,13,72.66666666666667,328.1666666666667,500.0,146.7087628981688
14,14,76.33333333333333,343.15,500.0,134.65690868112026
15,15,76.33333333333333,343.18333333333334,500.0,134.60677195280908
16,16,131.0,347.2166666666667,500.0,127.57539274222648
17,17,141.0,370.03333333333336,500.0,120.37228824682938
18,18,141.0,370.03333333333336,500.0,120.37228824682938
19,19,141.0,370.03333333333336,500.0,120.37228824682938
