gen,gen,min,avg,max,std
0,0,9.0,121.19999999999997,500.0,161.67417164710562
1,1,9.0,143.43333333333334,500.0,153.56649301777315
2,2,10.0,150.66666666666666,500.0,149.97510904591246
3,3,10.0,169.36666666666665,500.0,140.23309563405888
4,4,10.0,171.4333333333333,500.0,139.1471682947391
5,5,10.0,171.89999999999998,500.0,138.9413185485153
6,6,45.666666666666664,230.20000000000005,500.0,155.20339343369182
7,7,45.666666666666664,230.20000000000005,500.0,155.20339343369182
8,8,59.666666666666664,231.60000000000005,500.0,153.58723905324948
9,9,59.666666666666664,234.83333333333334,500.0,151.2563129995645
