gen,gen,min,avg,max,std
0,0,8.0,18.844444444444445,57.333333333333336,14.938821742752285
1,1,9.333333333333334,42.79999999999999,253.66666666666666,57.46996639147301
2,2,9.666666666666666,39.46666666666667,80.33333333333333,23.266189106846774
3,3,30.333333333333332,85.26666666666667,500.0,112.1358435443699
4,4,8.666666666666666,147.33333333333334,500.0,177.0424096503852
5,5,18.333333333333332,201.97777777777773,500.0,193.81692265169426
6,6,35.666666666666664,215.11111111111111,500.0,171.52802024274362
7,7,20.333333333333332,198.55555555555557,499.6666666666667,145.5302268038508
8,8,35.666666666666664,162.0222222222222,321.0,115.20432519315355
9,9,49.666666666666664,246.7555555555556,321.0,94.20973187652596
10,10,32.333333333333336,214.0222222222222,321.0,131.3510121584974
11,11,49.666666666666664,277.0888888888889,500.0,143.75825730444103
12,12,10.333333333333334,212.84444444444446,500.0,142.50467785261137
13,13,36.333333333333336,192.57777777777775,500.0,152.35511474070805
14,14,9.666666666666666,245.75555555555553,500.0,182.43243159801776
15,15,25.0,253.0,500.0,160.02684959903632
