gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,9.0,0.0,84.13333333333333,0.22461710258001671,373.0,0.6094132742020673,131.9916832396816,0.2727636798007078
1,1,9.0,0.0,122.83333333333333,0.420276606638895,373.0,0.6801221166892809,129.43906760411335,0.21211163795420507
2,2,9.0,0.14210924084147272,114.76666666666665,0.47276379779490013,500.0,0.6807626578694814,171.30051890691334,0.15744754765784483
3,3,9.333333333333334,0.3706128526962988,143.93333333333334,0.6146798425829308,500.0,1.0,158.79979009222063,0.21280046948205625
4,4,10.0,0.5013568521031208,136.36666666666665,0.7788508031779513,500.0,1.0,134.2623013193039,0.22712362825068977
5,5,9.666666666666666,0.5023148148148148,131.83333333333331,0.74612751501556,224.66666666666666,1.0,48.85062265041596,0.20956400811634215
6,6,10.0,0.4794997393609036,159.00000000000003,0.8698314348294431,352.6666666666667,1.0,81.26294768630207,0.19763108176054903
7,7,9.0,0.4794997393609036,135.63333333333335,0.8936369240568149,352.6666666666667,1.0,88.93848685717812,0.20232152628173128
8,8,36.666666666666664,0.02849389416553596,130.26666666666668,0.9028493894165536,140.66666666666666,1.0,31.2,0.2914518317503392
9,9,21.666666666666668,0.3109548859125699,116.86666666666667,0.8621909771825139,140.66666666666666,1.0,47.599999999999994,0.27561804563497205
10,10,140.66666666666666,1.0,149.0,1.0,182.33333333333334,1.0,16.666666666666675,0.0
