gen,gen,min,avg,max,std
0,0,-523.5484105674165,-306.6936696283665,-99.95817271681524,137.35834268919635
1,1,-523.5484105674165,-304.55312306840034,-90.62259727751096,135.16936383846166
2,2,-523.5484105674165,-248.15858678355488,-90.62259727751096,136.4943251327964
3,3,-498.2735554309077,-211.61790381498182,-90.62259727751096,134.21448538086557
4,4,-498.2735554309077,-174.3581965411096,-90.62259727751096,119.15271418833028
5,5,-498.2735554309077,-176.4943899119766,-90.62259727751096,100.13119187481024
6,6,-304.66520801893734,-127.87942992185269,-61.30280558207096,57.17071074802416
7,7,-502.9633001358359,-128.66311717618265,-61.30280558207096,81.0027944404395
8,8,-502.9633001358359,-133.47379597815603,56.43655940843886,102.84787906038672
9,9,-469.75852423906844,-107.66623378494447,56.43655940843886,100.34756252620197
10,10,-304.66520801893734,-98.86912649313838,72.72716012122794,98.20130181705885
11,11,-502.9633001358359,-90.98087512444324,72.72716012122794,111.28607913988016
12,12,-502.9633001358359,-84.0741119511751,91.28560017595102,112.12525022629784
13,13,-260.51232753689743,-41.30844106950212,91.28560017595102,92.98701828354078
14,14,-260.51232753689743,-47.880270876905215,91.28560017595102,96.54406122718808
15,15,-342.582403549852,-53.411690402911844,72.72716012122794,120.91019870742753
16,16,-342.582403549852,-82.50411737528336,72.72716012122794,117.83423708372514
17,17,-270.7859021298321,-40.37078661388386,79.7594811810326,106.32443183346054
18,18,-270.7859021298321,-66.36626876026294,126.14403807611414,96.8439361454745
19,19,-179.34338095658663,-43.97073671213916,76.52622291813718,92.8026415849811
20,20,-270.7859021298321,-61.402044694675645,89.5127576184229,98.06694935890243
21,21,-270.7859021298321,-72.12637907245396,89.5127576184229,102.62340791954624
22,22,-270.7859021298321,-86.48204350342394,89.5127576184229,94.10360759283752
23,23,-270.7859021298321,-89.06766097804002,89.5127576184229,86.91216190397918
24,24,-270.7859021298321,-94.61825018946887,89.5127576184229,80.40612575858525
